1571829281,3,0,1,"CA,C2,CJ,C9;DQ,DK,DA,D8;DJ,SQ,D10,D5;D9,HA,D3,D4;D7,H10,HK,H9;D6,H6,HJ,H8;D2,H5,H4,SA;CQ,CK,H2,C8;C6,C10,SK,C7;C3,C5,S10,SJ;HQ,C4,S9,S7;H7,S8,S6,S5;H3,S2,S4,S3"
1571829281,3,0,1,"C2,CA,CQ,C6;DA,DQ,DK,D9;D10,D5,DJ,D8;D7,HK,D6,D4;D3,HQ,D2,SQ;C8,CK,C10,C5;C7,CJ,H8,C4;HA,C9,H5,H2;H10,C3,H4,SA;SJ,HJ,H3,S9;S10,H9,SK,S8;S6,H7,S7,S4;S3,H6,S5,S2"
1571829281,3,2,1,"CQ,C2,CJ,CA;DJ,DA,DQ,D10;D9,DK,D7,D8;HJ,D4,D6,D5;H4,HK,D3,D2;C10,CK,C8,C4;C9,C7,C6,SQ;SK,S5,SJ,SA;S10,S2,S4,S9;S8,H8,HA,S7;S6,H7,HQ,H10;S3,H6,H2,H9;H3,C5,C3,H5"
1571829281,3,7,1,"C2,CA,C10,CK;DJ,D3,DA,DK;D9,D2,D10,DQ;D8,SQ,D7,D5;C9,CQ,C7,C4;C8,CJ,C5,C3;S3,S9,SK,SA;HA,H10,D6,D4;S2,S4,S10,SJ;HQ,H9,S7,S8;H7,H8,S5,S6;H5,H4,HK,HJ;C6,H3,H2,H6"
1571829281,3,0,1,"CK,CJ,C2,CA;DJ,DQ,DK,DA;D10,D9,SQ,D6;D7,D8,HQ,D4;HK,D5,H4,D3;HJ,D2,S10,HA;CQ,C3,C10,C8;C6,H8,C9,H9;H10,H7,C7,H6;SJ,H5,C5,H3;S9,H2,C4,SK;S8,SA,S7,S6;S3,S4,S2,S5"
1571829281,3,26,1,"CQ,C2,C8,CJ;D9,DJ,DQ,DA;D8,D10,D5,DK;HQ,D7,D4,D6;HJ,D3,SQ,D2;C10,CA,HK,C7;H4,CK,H10,C5;H2,C9,H9,HA;SK,C6,H8,H3;SJ,C4,H6,S10;S8,C3,H5,S7;S6,SA,S9,S5;S4,H7,S3,S2"
1571829281,3,2,1,"C8,CJ,CA,C2;D10,D6,DK,DA;D9,D3,DJ,DQ;D8,D2,SQ,D5;D7,H8,HK,D4;C7,H5,CQ,CK;C6,H3,C9,C10;C5,H2,C3,C4;SJ,SA,S9,S10;HA,SK,S8,S6;H10,S7,S5,S4;H7,S3,H9,HQ;H4,S2,H6,HJ"
1571829281,3,14,1,"CA,C2,C8,CJ;D2,DK,DQ,DA;HJ,DJ,D10,D8;H10,D9,D3,D7;H7,D5,SQ,D6;CK,C5,C7,C10;CQ,C3,C4,C9;SA,S4,SK,S8;S10,S3,SJ,HK;S9,HA,S6,HQ;S7,H9,S2,H8;S5,H4,H6,H3;H2,D4,H5,C6"
1571829281,3,2,1,"C6,C2,CQ,CA;DQ,DA,DK,D8;DJ,D10,HA,D6;D7,D9,HK,D3;SQ,D5,HQ,HJ;H8,D4,H10,H7;H6,D2,H5,H2;H3,C9,CJ,CK;SA,C7,C10,C5;S10,C3,C8,SK;S7,H9,C4,SJ;S6,S4,S3,S9;S5,H4,S2,S8"
1571829281,3,0,1,"CQ,CJ,C2,CK;D9,D3,DA,DQ;D6,SQ,DK,D10;HK,HA,DJ,D8;HQ,H8,D7,D4;H10,H5,D5,D2;C10,C9,CA,C4;C7,C8,C5,H7;S5,S9,SK,SA;H9,S8,SJ,S10;C6,H3,C3,H4;H6,S4,HJ,S7;H2,S2,S6,S3"
